01 03 08 01 2C 00 FA 27 10 00 64
01 03 08 01 36 01 00 26 79 00 71
01 03 08 01 3A 00 F0 27 1C 00 65
01 03 08 01 2A 01 02 26 88 00 5F
01 03 08 01 31 00 FC 27 05 00 62
01 03 08 01 28 00 F9 26 F0 00 67
01 03 08 01 2E 00 FD 27 12 00 6A
01 03 08 01 35 01 05 26 A0 00 70
01 03 08 01 30 00 F8 27 00 00 68
01 03 08 01 29 01 01 26 85 00 5C
01 03 08 01 2B 00 FF 26 95 00 66
01 03 08 01 33 00 FA 26 D0 00 64
01 03 08 01 2D 00 FB 26 C5 00 61
01 03 08 01 37 01 03 27 25 00 72
01 03 08 01 2F 00 F6 26 B8 00 60
01 03 08 01 32 00 FE 26 D5 00 6C
01 03 08 01 2C 00 F2 26 A0 00 63
01 03 08 01 3B 01 08 27 30 00 6F
01 03 08 01 2E 00 FC 26 C0 00 65
01 03 08 01 34 01 04 27 18 00 6A
01 03 08 01 2A 00 F1 26 90 00 5E
01 03 08 01 38 01 06 27 35 00 73
01 03 08 01 30 00 F0 26 D2 00 69
01 03 08 01 2D 00 F3 26 A5 00 60
01 03 08 01 31 00 F7 26 E0 00 66
01 03 08 01 29 00 EF 26 88 00 5D
01 03 08 01 33 00 FA 26 F5 00 65
01 03 08 01 2F 00 FD 26 B2 00 62
01 03 08 01 3C 01 07 27 20 00 71
01 03 08 01 2B 00 F5 26 94 00 5E
01 03 08 01 35 00 F9 27 00 00 67
